Province/Territory,"Program Stream","Employer ","Address ","Occupation ","Incorporate Status","Requested LMIAs","Requested Positions"
"Nova Scotia","    High Wage","Independent Fisheries Limited","Sable River, NS B0T 1V0","1524-Purchasing and inventory control workers",Unknown,1,1
"New Brunswick","   Low Wage","Corey Craig Ltd","Moncton, NB, NB E1C 1E3","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,4
"New Brunswick","   Low Wage","Tri Province Enterprises 1984 Ltd","Moncton, NB E1A 3A5","9416-Metalworking and forging machine operators",Unknown,1,1
Quebec,"    High Wage","9427-7308 QUEBEC INC.","Montreal, QC H3T 1Y7",6322-Cooks,Unknown,1,1
Quebec,"    High Wage","Chocmod Canada Inc.","Saint-Jean-sur-Richelieu, QC J2W 0G9","2141-Industrial and manufacturing engineers",Corporation,1,1
Quebec,"    High Wage","DEL INC.","Montreal, QC H3W 3E3","6331-Butchers, meat cutters and fishmongers - retail and wholesale",Unknown,1,5
Quebec,"    High Wage","Emergence Plus Inc.","Québec, QC G1H 2V1","2171-Information systems analysts and consultants",Unknown,1,1
Quebec,"    High Wage","Personnel Marcoux Inc","Magog, QC J1X 3L2","7237-Welders and related machine operators",Unknown,1,1
Quebec,"    High Wage","Placement Main D'oeuvre Speciale Inc","Laval, QC H7V 0C2","9523-Electronics assemblers, fabricators, inspectors and testers",Unknown,1,6
Quebec,"   Low Wage","9290-3855 Qc. Inc","Québec, QC G1L 2W4",6322-Cooks,Partnership,1,1
Quebec,"   Low Wage","9358-8093 Québec inc.","Montreal, QC H8N 1T3",6322-Cooks,Unknown,1,5
Quebec,"   Low Wage","9409-2830 QUEBEC INC","Rouyn-Noranda, QC J9X 2A8","6731-Light duty cleaners",Unknown,1,6
Quebec,"   Low Wage","Auberge Forteresse de la Rive","Disraeli, QC G0N  1E","6711-Food counter attendants, kitchen helpers and related support occupations",Corporation,1,2
Quebec,"   Low Wage","B.M.S Auto inc","Montréal, QC H1G  4Y","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Partnership,1,1
Quebec,"   Low Wage","Le Béninois Inc.","DISRAELI, QC G0N 1E0",6322-Cooks,Corporation,1,1
Quebec,"   Low Wage","Les Services Entretien Myra Inc/Myra’s Cleaning and Services Inc","Gatineau, QC J9J 3V3","6731-Light duty cleaners",Unknown,1,4
Quebec,"   Low Wage","R-Pro Placement Inc.","Candiac, QC J5R 0S3","7452-Material handlers",Unknown,1,1
Quebec,"  Primary Agriculture","RP2R S.E.C.","Notre-Dame-du-Bon-Conseil, QC J0C 1A0","8431-General farm workers",Corporation,1,1
Quebec," Global Talent Stream","Saris AI Inc.","Montréal, QC H2X 1X8","0213-Computer and information systems managers",Corporation,1,1
Ontario,"    High Wage","1000044865 ONTARIO INC","Oakville, ON L6H 3P5","2242-Electronic service technicians (household and business equipment)",Unknown,1,1
Ontario,"    High Wage","11227467 Canada Inc.","Bracebridge, ON P1L 1P3","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"    High Wage","1990601ONTARIO INC.","ETOBICOKE, ON M9A 4X6","7291-Roofers and shinglers",Unknown,1,5
Ontario,"    High Wage","2743365 ONTARIO CORPORATION","ETOBICOKE, ON M9W 6S9","1112-Financial and investment analysts",Unknown,1,1
Ontario,"    High Wage","3 Trees Hardwood Flooring LTD.","Toronto, ON M3J 3H4","9437-Woodworking machine operators",Unknown,1,1
Ontario,"    High Wage","7657587 CANADA LIMITED","Etobicoke, ON M9W 6N5","1241-Administrative assistants",Unknown,1,1
Ontario,"    High Wage","9378677 Canada Inc","Ottawa, ON K1G 0E9",6322-Cooks,Unknown,1,1
Ontario,"    High Wage","Ace Property Care Inc.","Caledon, ON L7C 2K5","1241-Administrative assistants",Unknown,1,1
Ontario,"    High Wage","aldahan renovations inc","mississauga, ON L5L 4W3","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"    High Wage","ALL ROUTES LOGISTICS INC.","Mississauga, ON L5T 1E7","1241-Administrative assistants",Unknown,1,3
Ontario,"    High Wage","Animals Inc.","TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",Corporation,6,6
Ontario,"    High Wage","Any-Wall Concrete Forming Inc.","Toronto, ON M9L 1Z8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,1
Ontario,"    High Wage","Asymetric Media Ltd.","Toronto, ON M5V 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","B Negative LLC","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Cambridge Resources International (Canada) Inc.","Kingston, ON K7M 8J8","4166-Education policy researchers, consultants and program officers",Unknown,1,1
Ontario,"    High Wage","Crescent Cabinet Company LTD","Hamilton, ON L8L 3Z4","9224-Supervisors, furniture and fixtures manufacturing",Unknown,1,1
Ontario,"    High Wage","DAHI CONSTRUCTION INC.","TORONTO, ON M1N 4A5",7281-Bricklayers,Unknown,1,1
Ontario,"    High Wage","DC FREIGHT HAULERS INC","Woodstock, ON N4T 0G7","1311-Accounting technicians and bookkeepers",Unknown,1,1
Ontario,"    High Wage","DELTAKISH CORPORATION","Aurora, ON L4G 1C9","7305-Supervisors, motor transport and other ground transit operators",Unknown,1,1
Ontario,"    High Wage","DIAMOND INSURANCE GROUP INC.","Brampton, ON L6P 4B5","1241-Administrative assistants",Unknown,1,2
Ontario,"    High Wage","Engtec Consulting Inc","Mississauga, ON L5S 1G1","2231-Civil engineering technologists and technicians",Unknown,1,1
Ontario,"    High Wage","Executive Real Estate Services Limited","BRAMPTON, ON L6Z 4N5","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"    High Wage","Feels Like Home Films Inc.","Toronto, ON M6H  2X","5131-Producers, directors, choreographers and related occupations",Co-operative,1,1
Ontario,"    High Wage","Flynn Canada Ltd.","Mississauga, ON L4V 1K2","0711-Construction managers",Unknown,1,1
Ontario,"    High Wage","Greenbay Northern Ltd.","King City, ON L7B 1K5",7281-Bricklayers,Unknown,1,1
Ontario,"    High Wage","Guide Electric Ltd","Etobicoke, ON M9W 6J3","7202-Contractors and supervisors, electrical trades and telecommunications occupations",Unknown,1,1
Ontario,"    High Wage","HSO Enterprise Solutions Inc.","Richmond Hill, ON L4B 3P6","1122-Professional occupations in business management consulting",Unknown,1,1
Ontario,"    High Wage","Ina Construct Services Inc","North York, ON M2H 2C9",7271-Carpenters,Unknown,1,3
Ontario,"    High Wage","INDERSONS ELECTRONICS INC","Mississauga, ON L4W 5K4","0621-Retail and wholesale trade managers",Unknown,1,1
Ontario,"    High Wage","Interglobo North America - Canada Inc","Oakville, ON L6H 5V1","0731-Managers in transportation",Unknown,1,1
Ontario,"    High Wage","Irpinia Kitchens","Richmond Hill, ON L4C 3G7","7204-Contractors and supervisors, carpentry trades",Unknown,1,1
Ontario,"    High Wage","JFE Shoji Power Canada Inc.","Burlington, ON L7N 3W7","0601-Corporate sales managers",Unknown,1,1
Ontario,"    High Wage","Juice Dudez Inc","ottawa, ON K1Z 0A7","6311-Food service supervisors",Unknown,1,1
Ontario,"    High Wage","Kelsey Trail Trucking Ltd.","Innisfil, ON L9S 3V5","7511-Transport truck drivers",Unknown,1,30
Ontario,"    High Wage","Longtech Computer Distribution Inc.","Markham, ON L3R 4C1","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"    High Wage","Metro Infrastructure Inc","BRAMPTON, ON L6S 5P2","7611-Construction trades helpers and labourers",Corporation,1,4
Ontario,"    High Wage","OPC.TV INC","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Unknown,2,2
Ontario,"    High Wage","Partners Film Inc","TORONTO, ON M5A 3C4","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Phoenix Contact Ltd","Milton, ON L9T 5V7","0601-Corporate sales managers",Unknown,1,1
Ontario,"    High Wage","Pliteq Inc.","Toronto, ON M2P 2A9","0601-Corporate sales managers",Unknown,1,1
Ontario,"    High Wage","PROINSTALLERS INC.","Brampton, ON L6T 1A2","0714-Facility operation and maintenance managers",Unknown,1,4
Ontario,"    High Wage","Sequoia Content International Ltd.","TORONTO, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","SIN Structures Inc.","St. Catharines, ON L2P 2H3","7311-Construction millwrights and industrial mechanics",Unknown,1,1
Ontario,"    High Wage","Sister Sophie Ltd.","Markham, ON L3R 3A4","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"    High Wage","Skin and Bones Film Company","TORONTO, ON M6J 1H6","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
Ontario,"    High Wage","SOFT CITIZEN, INC","Toronto, ON M5A  2N","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Sparks Productions Incorporated","TORONTO, ON M6K 3J1","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Stackpole International Powder Metal, Ltd.","Ancaster, ON L9G 4V5","7232-Tool and die makers",Unknown,1,2
Ontario,"    High Wage","Steam Films Inc.","TORONTO, ON M5A 2N4","5131-Producers, directors, choreographers and related occupations",Partnership,1,1
Ontario,"    High Wage","Suneeva Ltd.","TORONTO, ON M5B 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,3,3
Ontario,"    High Wage","TAIE International Institute","Toronto, ON M5B 2J6","0124-Advertising, marketing and public relations managers",Unknown,1,1
Ontario,"    High Wage","The Cohen Clinic","Toronto, ON M4Y 1W4",4151-Psychologists,Unknown,1,2
Ontario,"    High Wage","Ultra Dental Inc.","london, ON N5Y 3J1","3223-Dental technologists, technicians and laboratory assistants",Unknown,1,1
Ontario,"    High Wage","Victoria Canadian Immigration Consultancy Inc.","MISSISSAUGA, ON L4T 0A4","2172-Database analysts and data administrators",Unknown,1,1
Ontario,"    High Wage","Vijilan Security LLC","Richmond Hill, ON L4B 3P8","2171-Information systems analysts and consultants",Unknown,1,1
Ontario,"    High Wage","Vijilan Security LLC","Richmond Hill, ON L4B 3P8","2174-Computer programmers and interactive media developers",Unknown,1,1
Ontario,"    High Wage","Vision Entertainment Inc","TORONTO, ON M6A 2A4","5131-Producers, directors, choreographers and related occupations",Corporation,2,2
Ontario,"    High Wage","York University","Toronto, ON M3J 1P3","4011-University professors and lecturers",Unknown,1,1
Ontario,"   Low Wage","13479251 Canada Ltd","Vaughan, ON L4L 3R5",6345-Upholsterers,Unknown,1,1
Ontario,"   Low Wage","1458935 Ontario Ltd.","Toronto, ON M6A 1Y7","9617-Labourers in food, beverage and associated products processing",Unknown,1,4
