Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
"Newfoundland and Labrador","High Wage","St. Mary's Bay Fisheries Inc.","St. Mary's, NL A0B 3B0","9213-Supervisors, food, beverage and associated products processing",Unknown,1,1
"Nova Scotia","High Wage","3328040 Nova Scotia Limited","Beaver Bank, NS B4E 3A5","0124-Advertising, marketing and public relations managers",Unknown,1,1
"Nova Scotia","High Wage","Dragon Ebikes Ltd.","Halifax, NS B3K 3B4","1223-Human resources and recruitment officers",Unknown,1,1
"Nova Scotia","High Wage","MARUTI BRIDGEWATER NS INC","BRIDGEWATER, NS B4V 3A2","4163-Business development officers and marketing researchers and consultants",Unknown,1,1
"Nova Scotia","Low Wage","3287893 Nova Scotia Limited","HALIFAX, NS B3J 0J1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
"Nova Scotia","Low Wage","3326467 Nova Scotia ltd","Halifax, NS B3S 0B9","2225-Landscape and horticulture technicians and specialists",Unknown,1,1
"Nova Scotia","Low Wage","A Bite of Asia Inc.","Sydney, NS B1P 5Z1",6322-Cooks,Unknown,1,1
"Nova Scotia","Low Wage","INNER STRENGTH TAE KWON DO INC","2 WELLINGTON, NS B2T 1B7","4413-Elementary and secondary school teacher assistants",Unknown,1,1
"Nova Scotia","Low Wage","Keel Brands Limited","Dartmouth, NS B3B 0M4","0631-Restaurant and food service managers",Unknown,1,2
"Nova Scotia","Low Wage","Melody Dunns cleaning","Halifax, NS B3M 0P3","6731-Light duty cleaners",Unknown,1,1
"Nova Scotia","Low Wage","Poirier Fish Limited","Cheticamp, NS B0E 1H0","9618-Labourers in fish and seafood processing",Unknown,1,6
"New Brunswick","High Wage","735223 NB Corp","moncton, NB E1G 6H5","1241-Administrative assistants",Unknown,1,1
"New Brunswick","High Wage","DWARKA CIVIL CONSTRUCTION MANAGEMENT LIMITED","SAINT JOHN, NB E2J 1C7","2264-Construction inspectors",Unknown,1,1
"New Brunswick","Primary Agriculture","Yuvi Farm Inc","Cap-Pelé, NB E4N 2C5","8431-General farm workers",Unknown,1,3
Quebec,"Global Talent Stream","Triton Digital Canada Inc.","Montreal, QC H3G 1R8","2174-Computer programmers and interactive media developers",Corporation,1,1
