Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Terre-Neuve-et-Labrador,"   Bas salaire","75457 Newfoundland and Labrador Inc","St John's, NL A1A 5C3","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Île-du-Prince-Édouard,"  Agriculture primaire","Eastern Exporters Limited","Souris, PE C0A 2B0","8431-Ouvriers agricoles",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","Captain Atlantic International Trade Co. Ltd.","Shag Harbour,, NS B0W 3B0","7305-Surveillants du transport routier et du transport en commun",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","CITYPLANNERS PROPERTY AND INVESTMENT LTD","Halifax, NS B3J 3M8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","MJM Energy Limited","Dartmouth, NS B3B 1S3","7611-Aides de soutien des métiers et manoeuvres en construction",Inconnu,1,5
Nouvelle-Écosse,"   Bas salaire","3286710 Nova Scotia Limited","Chester, NS B0J 1J0","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouvelle-Écosse,"  Talent mondial","Menlopark Technologies Limited","Halifax, NS B3J 3R7","2173-Ingénieurs et concepteurs en logiciel",Corporation,2,2
Nouveau-Brunswick,"     Haut salaire","Summer Hill Foods Inc.","Fredericton, NB E3G 0E8","1221-Agents d'administration",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Beacon Light Motel Limited","Moncton, NB E1C 2T1","6312-Gouvernants principaux",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","CCG Atlantic Restaurants Ltd","Moncton, NB E1G 3T6","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Québec,"     Haut salaire","9227-1162 Québec Inc.","Montréal-Nord, QC H1H 3N4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Corporation,1,1
Québec,"     Haut salaire","9296-6696 quebec inc","Varennes, QC J3X 1P7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Inconnu,1,1
Québec,"     Haut salaire","9382-0942 Québec inc.","Québec, QC G1X 1S5",3236-Massothérapeutes,Inconnu,1,1
Québec,"     Haut salaire","Carworx Distribution Inc.","Pointe-Claire, QC H9R 1B1","1222-Adjoints de direction",Inconnu,1,1
Québec,"     Haut salaire","GARAGE DRAPEAU INC.","Montréal, QC H1P  2E","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus","Entreprise à propriétaire unique",1,1
Québec,"     Haut salaire","Géoposition Arpenteurs-Géomètres Inc.","Val d'Or, QC J9P 1S2","2231-Technologues et techniciens en génie civil",Corporation,1,1
Québec,"     Haut salaire","La Petite Étincelle","Montréal, QC H2R 1V7","4214-Éducateurs et aides-éducateurs de la petite enfance",Coopérative,1,1
Québec,"     Haut salaire","MICROBRASSERIE AU FRONTIBUS INC","Gaspé, QC G4X 5E3","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",Inconnu,1,1
Québec,"   Bas salaire","9269-5352 QUEBEC INC","Montréal, QC H3N 1R2","9612-Manoeuvres en métallurgie",Corporation,2,2
Québec,"   Bas salaire","Agence Agro Inc.","Brossard, QC J4Y 2A5","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",Corporation,1,8
