Province/Territoire,"Volet du programme",Employeur,Adresse,Profession,"Postes demandes"
Île-du-Prince-Édouard,"Agriculture primaire","Vanco Farms Ltd.","Mount Albion, PE C1B 0R4","8431-Ouvriers agricoles",10
Nouvelle-Écosse,"Bas salaire","Care and Fun Childcare limited","Halifax, NS B3M 3V3","4214-Éducateurs et aides-éducateurs de la petite enfance",1
Nouvelle-Écosse,"Bas salaire","M.J.N.J Investments Ltd","Lunenburg, NS B0J 2C0","6311-Superviseurs des services alimentaires",1
Nouvelle-Écosse,"Bas salaire","seven restaurants LTD","Halifax, NS B3S 1C9",6322-Cuisiniers,1
Nouvelle-Écosse,"Haut salaire","Mr Masonry Inc","Williamswood, NS B3V 1N2",7281-Briqueteurs-maçons,1
Nouveau-Brunswick,"Bas salaire","502005 NB Limited","Woodstock, NB E7M 5G5",6322-Cuisiniers,1
Nouveau-Brunswick,"Bas salaire","Beacon Light Motel Limited","Moncton, NB E1C 2T1","6311-Superviseurs des services alimentaires",1
Nouveau-Brunswick,"Bas salaire","Oko Invest Ltd","Moncton, NB E1G 1A8","6341-Coiffeurs et barbiers",1
Nouveau-Brunswick,"Haut salaire","RITE-LINE TRANSPORTATION INC.","FLORENCEVILLE-BRISTOL, NB E7L 3K6","7511-Conducteurs de camions de transport",2
Nouveau-Brunswick,"Haut salaire","Signature Landscape Ltd","Moncton, NB E1A 3M2","2225-Techniciens et spécialistes de l'aménagement paysager et de l'horticulture",2
Québec,"Bas salaire","9113-0963 Québec Inc","St-Hubert, QC J3Y 1C4","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"Bas salaire","9430-4714 Québec inc.","Prévost, QC J0R  1T","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"Bas salaire","Agence de Placement JM Santé Inc.","Saint-Jean-sur-Richelieu, QC J3B 0G8","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",6
Québec,"Haut salaire","24/7 Expertise en soins de santé Inc","Montréal, QC H2H 1J6","3012-Infirmiers autorisés et infirmiers psychiatriques autorisés",1
Québec,"Haut salaire","9301-0031 Québec Inc.","Saint-Alphonse-de-Granby, QC J0E 2A0","0632-Directeurs des services d'hébergement",1
Québec,"Haut salaire","9363-2917 Québec inc.","Montréal, QC H2Y 1Y7",6322-Cuisiniers,1
Québec,"Haut salaire","9372-2254 Québec inc.","Boucherville, QC J4B 4T9","3012-Infirmiers autorisés et infirmiers psychiatriques autorisés",1
Québec,"Haut salaire","9406-6453 Québec Inc.","Saint-Laurent, QC H4M 2L4","0621-Directeurs - commerce de détail et de gros",1
Québec,"Haut salaire","Al Karam International Trading Inc.","BOIS-DES-FILLION, QC J6Z 1Z9","0621-Directeurs - commerce de détail et de gros",1
Québec,"Haut salaire","Bar Resto Le Baobab","Chicoutimi, QC G7H 4E7",6322-Cuisiniers,1
Québec,"Haut salaire","CODE101 Inc","Quebec, QC G2E 2J2","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
Québec,"Haut salaire","G.E.M COMPAGNIE MULTISERVICES INC","Québec, QC G2L 1X8","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",4
Québec,"Haut salaire","Isologic Innovative Radiopharmaceuticals Ltd.","Dorval, QC H9P 1B1","2132-Ingénieurs mécaniciens",1
Québec,"Haut salaire","La Relève en Force inc.","Québec, QC G1K 6G7","4215-Instructeurs pour personnes ayant une déficience",1
