Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
"Newfoundland and Labrador                                                  ","Low Wage            ","15149576 CANADA INC.","HAPPY VALLEY-GOOSE BAY, NL A0P 1C0",63200-Cooks,Unknown,1,2
"Newfoundland and Labrador                                                  ","Low Wage            ","Elliott's Hotel Limited","head of bay d'espoir, NL A0H 1R0","70012-Facility operation and maintenance managers",Unknown,1,1
"Newfoundland and Labrador                                                  ","Low Wage            ","Forteau Sales and Services Ltd.","forteau, NL A0K 2P0",63200-Cooks,Unknown,1,2
"Newfoundland and Labrador                                                  ","Primary Agriculture  ","Miao's Holding Inc.","St. John's, NL A1H 0M1","85101-Harvesting labourers",Unknown,1,2
"Prince Edward Island                                                       ","High Wage          ","Advance Plus Tech Solutions Inc.","Charlottetown, PE C1E 2B4","72205-Telecommunications equipment installation and cable television service technicians",Unknown,1,1
"Nova Scotia                                                                ","High Wage          ","ADVANCE TRAVEL INC.","Bedford, NS B4B 2M8","62023-Customer and information services supervisors",Unknown,1,1
"Nova Scotia                                                                ","High Wage          ",R&G,"Halifax, NS B3K 1C5","41402-Business development officers and market researchers and analysts",Unknown,1,1
"Nova Scotia                                                                ","High Wage          ","Sensora Auto Parts","Lake Echo, NS B3E 1N3","64101-Sales and account representatives - wholesale trade (non-technical)",Unknown,1,1
"Nova Scotia                                                                ","High Wage          ","SUPREME TRADING","Sydney, NS B1P 1C5","62010-Retail sales supervisors",Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","3321278 Nova Scotia Limited","Halifax, NS B3K 3Y5","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","3327191 Nova Scotia Limited","Upper Tantallon, NS B3Z 1E2",63200-Cooks,Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","3336444 NOVA SCOTIA LIMITED","HALIFAX, NS B3J 1M3","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,3
"Nova Scotia                                                                ","Low Wage            ","FH Development  Group","Lower Sackville, NS B4C 2N4","73102-Plasterers, drywall installers and finishers and lathers",Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","Golden View Enterprise","Digby, NS B0V 1A0",63200-Cooks,Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","Golden View Enterprise","Digby, NS B0V 1A0","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
"Nova Scotia                                                                ","Low Wage            ","Kebab Kitchens Limited","Dartmouth, NS B3A 4K1","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","KING KONG CLEANING SERVICES","Halifax, NS B3M 3J3","65310-Light duty cleaners",Unknown,1,1
"Nova Scotia                                                                ","Low Wage            ","PYC NOODLE SHOP","Halifax, NS B3H 1J4","65201-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
"Nova Scotia                                                                ","Low Wage            ","RISE EAST INVESTMENTS LIMITED","Dartmouth, NS B2W 3E6","60020-Retail and wholesale trade managers",Unknown,1,1
"Nova Scotia                                                                ","Primary Agriculture  ","Beaver Creek Winnery Limited","Lawrencetown, NS B0S 1M0","82030-Agricultural service contractors and farm supervisors",Unknown,1,4
"Nova Scotia                                                                ","Primary Agriculture  ","Beaver Creek Winnery Limited","Lawrencetown, NS B0S 1M0","85101-Harvesting labourers",Unknown,1,20
"Nova Scotia                                                                ","Primary Agriculture  ","Black Avon Farms Ltd","Antigonish, NS B0H 1R0","85100-Livestock labourers",Unknown,1,3
"New Brunswick                                                              ","Global Talent Stream  ","PostDot Technologies Canada Ltd.","Moncton, NB E1C  1E","21231-Software engineers and designers",Corporation,1,1
"New Brunswick                                                              ","High Wage          ","ATLANTIC PIONEER DEVELOPMENT INC.","Saint John, NB E2L 3P5","12200-Accounting technicians and bookkeepers",Unknown,1,1
"New Brunswick                                                              ","High Wage          ","Frontier Immigration Services (Canada)","Riverview, NB E1B 3K7","11202-Professional occupations in advertising, marketing and public relations",Unknown,1,1
"New Brunswick                                                              ","Low Wage            ","Andrei Tailors Ltd.","Fredericton, NB E3B 3N5","64200-Tailors, dressmakers, furriers and milliners",Unknown,2,3
"New Brunswick                                                              ","Low Wage            ","Rene Pitre Foundation Inc.","Beresford, NB E8K 0B8","75110-Construction trades helpers and labourers",Unknown,1,2
"New Brunswick                                                              ","Low Wage            ","Zoa Mansu B.B.Q Inc","Dieppe, NB E1A 1G1","64300-Maîtres d'hôtel and hosts/hostesses",Unknown,1,1
"New Brunswick                                                              ","Primary Agriculture  ","PUNNY FARM INC.","Trois Ruisseaux, NB E4N 2Z4","85101-Harvesting labourers",Unknown,2,15
"Quebec                                                                     ","Global Talent Stream  ","9322-8310 Québec inc.","Joliette, QC J6E 3T4","21234-Web developers and programmers",Unknown,1,1
"Quebec                                                                     ","High Wage          ","9342-7490 Quebec Inc.","Laval, QC H7E 1A1","73300-Transport truck drivers",Unknown,1,1
"Quebec                                                                     ","High Wage          ","agence Biggerband inc","Montréal, QC H2S 1C4","10020-Insurance, real estate and financial brokerage managers",Unknown,1,1
"Quebec                                                                     ","High Wage          ","Centre Interdisciplinaire de Développement en Cartographie des Océans","Rimouski, QC G5L 4B6","22214-Technical occupations in geomatics and meteorology",Unknown,1,1
"Quebec                                                                     ","High Wage          ","Consultation Groupe Close/ Close Groupe Consulting Inc.","Montreal, QC H2V 3A3","11101-Financial and investment analysts",Unknown,1,1
"Quebec                                                                     ","High Wage          ","FDC Aéro Composites","St-Jean-Sur-Richelieu, QC J3B 7B5","21390-Aerospace engineers",Corporation,1,1
"Quebec                                                                     ","High Wage          ","ITI PLACEMENT DE RESSOURCES INC","Québec, QC G2E 5G5","22220-Computer network and web technicians",Corporation,1,1
"Quebec                                                                     ","High Wage          ","La Boite Tattoo Perçage Inc.","Lévis, QC G6V 4Z5","63211-Estheticians, electrologists and related occupations",Unknown,1,1
"Quebec                                                                     ","High Wage          ","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","72100-Machinists and machining and tooling inspectors",Unknown,1,1
"Quebec                                                                     ","High Wage          ","UBLO INC.","Saint-Sauveur, QC J0R 1R4","13110-Administrative assistants",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","2701545 CANADA INC","Lachine, QC H8R 1H3","73300-Transport truck drivers",Unknown,1,3
"Quebec                                                                     ","Low Wage            ","9044-1866 QUÉBEC INC.","Les Coteaux, QC J7X 1A6","72421-Appliance servicers and repairers",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","9364-9168 Québec Inc.","Québec, QC G2G 2R1",63200-Cooks,Unknown,1,2
"Quebec                                                                     ","Low Wage            ","9453-2355 QUÉBÉC INC","Montréal, QC H2C 2B1","72106-Welders and related machine operators",Unknown,1,3
"Quebec                                                                     ","Low Wage            ","9454-0051 QUEBEC INC","Lourdes-de-Blanc-Sablon,, QC G0G 1W0","65200-Food and beverage servers",Unknown,1,3
"Quebec                                                                     ","Low Wage            ","9490-3184 Quebec Inc.","Montreal, QC H2P 1T5","62020-Food service supervisors",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","9490-3184 Quebec Inc.","Montreal, QC H2P 1T5",63200-Cooks,Unknown,1,1
"Quebec                                                                     ","Low Wage            ","AGENCE DE PLACEMENT DYNAMIQUE INC.","Saint Laurent, QC H4L 3M8","12200-Accounting technicians and bookkeepers",Unknown,1,4
"Quebec                                                                     ","Low Wage            ","EFFICACITÉ ET TRANSPORT CHELY INC","Montreal, QC H1Z 4K6","12101-Human resources and recruitment officers",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","Frontier Immigration","gatineau, QC J8P 6W2","33102-Nurse aides, orderlies and patient service associates",Unknown,1,9
"Quebec                                                                     ","Low Wage            ","Le Paysagiste C.B.L. inc","Montréal, QC H4A 2W7","85121-Landscaping and grounds maintenance labourers",Unknown,1,2
"Quebec                                                                     ","Low Wage            ","LeGourmanoir Inc.","Sherbrooke, QC J1K 2X9","13110-Administrative assistants",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","OASIS SANTÉ. FM.INC","Saint Jean sur Richelieu, QC J2X 5S1","13100-Administrative officers",Unknown,1,1
"Quebec                                                                     ","Low Wage            ","Résidence Cardinal-Vachon","Québec, QC G1E 7C7","65310-Light duty cleaners","Non-Profit Organization",1,1
"Quebec                                                                     ","Low Wage            ","RESIDENCE CHATEAU BELLY 2023 INC","VICTORIAVILLE, QC G6P 6P3","33102-Nurse aides, orderlies and patient service associates",Unknown,5,10
