Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
"Newfoundland and Labrador","Low Wage","Blair Holdings Limited","Corner Brook, NL A2H 4C5","6731-Light duty cleaners",Unknown,1,2
"Prince Edward Island","Primary Agriculture","Pure Pork Genetics Ltd.","montague, PE C0A 1R0","8431-General farm workers",Unknown,1,3
"Nova Scotia","Low Wage","3323061 Nova Scotia Limited","HALIFAX, NS B3J 0E8","1311-Accounting technicians and bookkeepers",Unknown,1,1
"Nova Scotia","Low Wage","4438865 nova scotia limited","Currys Corner, NS B0N 2T0","6211-Retail sales supervisors",Unknown,1,1
"Nova Scotia","Low Wage","Simply Pho You","Yarmouth, NS B5A 1H1",6322-Cooks,Unknown,1,1
"New Brunswick","High Wage","12200601 CANADA INC","SAINT JOHN, NB E2L 3S5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
"New Brunswick","High Wage","Day & Ross Inc.","Hartland, NB E7P 1C6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1,1
"New Brunswick","High Wage","DWARKA CIVIL CONSTRUCTION MANAGEMENT LIMITED","SAINT JOHN, NB E2J 1C7","2264-Construction inspectors",Unknown,1,1
"New Brunswick","High Wage","VIJGREEN CONSTRUCTION MANAGEMENT LTD.","Saint John,, NB E2J 1C7","0711-Construction managers",Unknown,2,2
"New Brunswick","Low Wage","685433 N.-B.Ltee","ST ISIDORE, NB E8M 1C1","0621-Retail and wholesale trade managers",Unknown,1,1
"New Brunswick","Low Wage","Fen's Market Inc.","Woodstock, NB E7M 4L9",6611-Cashiers,Unknown,1,3
"New Brunswick","Low Wage","Hotel Shediac","Shediac, NB E4P 0M2","6731-Light duty cleaners",Unknown,1,2
Quebec,"High Wage","9427-3661 Québec inc.","SAINT JEROME, QC J7Y 1J3","1241-Administrative assistants",Partnership,1,1
Quebec,"High Wage","A A RECRUTEMENT DES TRAVAILLEURS","VICTORIAVILLE, QC G6P 2M6","1241-Administrative assistants",Unknown,1,1
Quebec,"High Wage","Bazar café inc","Montréal, QC H2S 1R6",7251-Plumbers,Unknown,1,1
Quebec,"High Wage","Les studios Besame inc.","Montréal, QC H2S 2M3","6562-Estheticians, electrologists and related occupations",Unknown,1,1
Quebec,"High Wage","Martial Excavation Inc.","Saint-Hubert, QC J3Y 2S1","7511-Transport truck drivers",Unknown,1,1
Quebec,"High Wage","PSK Consultation","Montreal, QC H8R 2G1","0601-Corporate sales managers",Unknown,1,1
Quebec,"High Wage","Sailor Productions Inc","MONTREAL, QC H2S 2L9","5131-Producers, directors, choreographers and related occupations",Unknown,1,1
Quebec,"High Wage","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","1211-Supervisors, general office and administrative support workers",Unknown,1,1
Quebec,"High Wage","SELEKKTUS Solutions d'embauche inc.","Montreal, QC H3C 1L9","1523-Production logistics co-ordinators",Unknown,1,1
Quebec,"Low Wage","9163-2653 QUÉBEC INC.","Brossard, QC J4Y  0J","6311-Food service supervisors",Partnership,1,1
Quebec,"Low Wage","9270-8783 Québec inc.","Québec, QC G1V 1T6","6731-Light duty cleaners",Unknown,1,1
Quebec,"Low Wage","9278-3513 Québec inc.","SOREL-TRACY, QC J3P 4G5","4214-Early childhood educators and assistants",Unknown,1,1
Quebec,"Low Wage","9321-5762 Québec inc.","Montréal, QC H1T 1G7",6332-Bakers,Unknown,1,1
Quebec,"Low Wage","9331-6701 Québec INC.","Montréal, QC H4M 1P1","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,1
Quebec,"Low Wage","9342-0800 Québec inc.","Longueuil, QC J4H 1E7","7284-Plasterers, drywall installers and finishers and lathers",Corporation,1,2
Quebec,"Low Wage","9432-7657 Quebec Inc.","Laval, QC H7S 2L8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Corporation,1,3
Quebec,"Low Wage","9452-0772 Québec Inc.","Lévis, QC G6Z 8A1","6731-Light duty cleaners",Corporation,1,1
Quebec,"Low Wage","Microbrasserie La Boite à Malt","Lévis, QC G7A 2P6","6711-Food counter attendants, kitchen helpers and related support occupations",Unknown,1,2
Quebec,"Low Wage","OPUS Coop, Coopérative de solidarité","Québec, QC G1H 1A1",6321-Chefs,Unknown,1,2
Quebec,"Low Wage","Panneaux CEMFORT Inc.","Rigaud, QC J0P 1P0","7452-Material handlers",Corporation,1,1
Ontario,"High Wage","1000151525 ONTARIO LTD.","Mississauga, ON L5B 0M9","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","1000256345 Ontario Corporation","Mississauga, ON L5T 2J6","1221-Administrative officers",Unknown,1,1
Ontario,"High Wage","1000380620 Ontario Inc.","Barrie, ON L4N 9C7","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"High Wage","1000503183 ONTARIO INC","Thornhill, ON L4J 1B5","1311-Accounting technicians and bookkeepers",Unknown,1,1
