Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Île-du-Prince-Édouard,    Haut salaire,Great Enlightenment Buddhist Institute Society,"Little Sands, PE C0A 1W0",7271-Charpentiers-menuisiers,8
,,,,7291-Couvreurs et poseurs de bardeaux,6
,   Bas salaire,Perry's Construction Ltd,"Tingish, PE C0B 2B0",7611-Aides de soutien des métiers et manoeuvres en construction,8
,,Red Mountain Food Inc.,"CHARLOTTETOWN, PE C1A 4H7",6321-Chefs,2
,  Agriculture primaire,Matos Winery and Distillery,"St. Catherines, PE C0A 1H1",8431-Ouvriers agricoles,1
,,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",8431-Ouvriers agricoles,3
Nouvelle-Écosse,    Haut salaire,Spar Marine Limited,"DARTMOUTH, NS B3B 1E4",7242-Électriciens industriels,1
,   Bas salaire,Burnside Law Group Limited,"DARTMOUTH, NS B3B 1S8",4211-Techniciens juridiques et personnel assimilé,1
,,C&D Makridis Holdings Ltd.,"Halifax, NS B3M 2K3",6316-Surveillants des autres services,1
,,Chebucto Inn,"Halifax, NS B3K 2R9",6322-Cuisiniers,1
,,Nio Wholesale Ltd o/a Bento Sushi,"Bedford, NS B4A 0G6",6322-Cuisiniers,1
Nouveau-Brunswick,    Haut salaire,Cape Enrage Interpretive Centre Inc.,"WATERSIDE, NB E4H 4Z4",6322-Cuisiniers,1
,,Colbr Consulting Inc.,"Maquapit Lake, NB E4B 0A6","4169-Autres professionnels des sciences sociales, n.c.a.",1
,,McKenzie Learning Systems Inc.,"MONCTON, NB E1C 5Y6","1123-Professionnels en publicité, en marketing et en relations publiques",1
,   Bas salaire,C&A Toner Ltd.,"GRANDFALLS, NB E3Z 1A6",6332-Boulangers-pâtissiers,1
Québec,    Haut salaire,7909284 Canada inc.,"CANDIAC, QC J5R 2E2","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,9014-5459 Quebec Inc.,"Riviere du Loup, QC G5R 1E2",1241-Adjoints administratifs,1
,,9171-7363 Quebec Inc,"LA PRAIRIE, QC J5R 1S8","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",1
,,9320-9955 Québec inc. / Au Safran,"Saint-Paul, QC J0K 3E0",6322-Cuisiniers,1
,,9358-4399 Québec Inc.,"REPENTIGNY, QC J6A 8L6",6311-Superviseurs des services alimentaires,1
,,9378-3173 Quebec Inc,"MONTRÉAL, QC H2E 2K5","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,,Altitude Aerospace Inc,"MONTRÉAL, QC H4S 1T2",2146-Ingénieurs en aérospatiale,1
