Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Île-du-Prince-Édouard,"     Haut salaire","Bithunter Infosec Inc.","Central Bedeque,, PE C0B 1G0","4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle",Inconnu,1,2
Nouvelle-Écosse,"     Haut salaire","Shree Hari Foods Inc.","Halifax, NS B3M 0M6",6322-Cuisiniers,Inconnu,1,2
Nouvelle-Écosse,"   Bas salaire","D & D Catering Limited","Debert, NS B0M 1G0","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","K Mac Pizza Holdings Ltd.","Antigonish, NS B2G 1X4",6322-Cuisiniers,Inconnu,1,1
Nouvelle-Écosse,"  Agriculture primaire","Skips General Maintenance","wolfville, NS B4P 2R3","8431-Ouvriers agricoles",Inconnu,1,2
Nouvelle-Écosse,"  Talent mondial","Maritime Business Consulting Inc","Bedford, NS B4B 0T4","2171-Analystes et consultants en informatique",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","689773 Nb Ltd.","Oromocto, NB E2V 4R3","6311-Superviseurs des services alimentaires",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Cochrans Country Market Ltd","Rothesay, NB E2E 2P8","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Québec,"     Haut salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1221-Agents d'administration",Corporation,1,1
Québec,"   Bas salaire","2834685 Canada Inc.","Montréal, QC H4A 3K4",6322-Cuisiniers,"Entreprise à propriétaire unique",1,1
Québec,"   Bas salaire","9214-1191 QUEBEC INC","Dollard-Des-Ormeaux, QC H9G 1W8","6421-Vendeurs - commerce de détail",Inconnu,1,2
Québec,"   Bas salaire","9393-8264 QUÉBEC INC","Mirabel, QC J7J 1R9","6211-Superviseurs des ventes - commerce de détail",Corporation,1,1
Québec,"   Bas salaire","9413-7957 Québec Inc.","Shefford, QC J2M 1Y7","7291-Couvreurs et poseurs de bardeaux",Inconnu,1,9
Québec,"   Bas salaire","OASIS SANTÉ. FM.INC","Saint Jean sur Richelieu, QC J2X 5S1","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,2
Québec,"   Bas salaire","SJ Architecture inc.","Montréal, QC H2R 2G1",2151-Architectes,Inconnu,1,1
Québec,"   Bas salaire","Surplus RD inc","VICTORIAVILLE, QC G6T 1A6",7452-Manutentionnaires,Inconnu,1,1
Ontario,"     Haut salaire","11051539 Canada Inc.","Mississauga, ON L4W 4L6","2252-Designers industriels",Inconnu,1,1
Ontario,"     Haut salaire","1168170 Ontario Ltd","Lively, ON P3Y 1L4","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",Inconnu,1,2
Ontario,"     Haut salaire","12550989 Canada Inc. O/A PJ Galaxy IT Solutions Inc","Brampton, ON L6R 3V9","1211-Superviseurs de commis de bureau et du personnel de soutien administratif",Inconnu,1,1
Ontario,"     Haut salaire","1337905 Ontario Limited","Mississauga, ON L4T 1G3","0114-Directeurs d'autres services administratifs",Inconnu,1,1
Ontario,"     Haut salaire","14364562 Canada Inc.","MAPLE, ON L6A 0K8","1211-Superviseurs de commis de bureau et du personnel de soutien administratif",Inconnu,1,1
Ontario,"     Haut salaire","1551863 Ontario Inc.","GEORGETOWN, ON L7G 4B5","6221-Spécialistes des ventes techniques - commerce de gros",Inconnu,1,1
Ontario,"     Haut salaire","1652262 ONTARIO INC.","SCARBOROUGH, ON M1B 4Z9","0601-Directeurs des ventes corporatives",Inconnu,1,1
Ontario,"     Haut salaire","2145462 Ontario Inc.","Toronto, ON L6P 0X4","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",Inconnu,1,1
Ontario,"     Haut salaire","2316879 ONTARIO INC.","MISSISSAUGA, ON L4W 4C3","0631-Directeurs de la restauration et des services alimentaires",Inconnu,1,1
Ontario,"     Haut salaire","2375741 Ontario Inc.","Mississauga, ON L5S 0A8","7305-Surveillants du transport routier et du transport en commun",Inconnu,1,1
Ontario,"     Haut salaire","2472843 Ontario Inc.","Richmond Hill, ON L4C 5G3","6314-Superviseurs des services d'information et des services à la clientèle",Inconnu,1,1
Ontario,"     Haut salaire","2544201 ONTARIO INC.","Brampton, ON L6X 3V1","0114-Directeurs d'autres services administratifs",Inconnu,1,1
Ontario,"     Haut salaire","2629333 Ontario Inc.","Guelph, ON N1G 4V9","6421-Vendeurs - commerce de détail",Inconnu,1,1
Ontario,"     Haut salaire","2778347 Ontario Inc.","Milton, ON L9E 1J5","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Ontario,"     Haut salaire","2788072 ONTARIO INC","TORONTO, ON M5V 1A6","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Ontario,"     Haut salaire","6996116 Canada Corporation","Brampton, ON L6P 4E3","7511-Conducteurs de camions de transport",Inconnu,1,4
Ontario,"     Haut salaire","8937001 Canada Inc","Scarborough, ON M1V 2W3","1241-Adjoints administratifs",Inconnu,1,1
Ontario,"     Haut salaire","8963860 Canada Incorporated","Brampton, ON L6X 2Z8","7511-Conducteurs de camions de transport",Inconnu,1,3
