Province/Territory,"Program Stream",Employer,Address,Occupation,"Incorporate Status","Requested LMIAs","Requested Positions"
"Prince Edward Island","    High Wage","Bithunter Infosec Inc.","Central Bedeque,, PE C0B 1G0","4021-College and other vocational instructors",Unknown,1,2
"Nova Scotia","    High Wage","Shree Hari Foods Inc.","Halifax, NS B3M 0M6",6322-Cooks,Unknown,1,2
"Nova Scotia","   Low Wage","D & D Catering Limited","Debert, NS B0M 1G0","4412-Home support workers, housekeepers and related occupations",Unknown,1,1
"Nova Scotia","   Low Wage","K Mac Pizza Holdings Ltd.","Antigonish, NS B2G 1X4",6322-Cooks,Unknown,1,1
"Nova Scotia","  Primary Agriculture","Skips General Maintenance","wolfville, NS B4P 2R3","8431-General farm workers",Unknown,1,2
"Nova Scotia"," Global Talent Stream","Maritime Business Consulting Inc","Bedford, NS B4B 0T4","2171-Information systems analysts and consultants",Unknown,1,1
"New Brunswick","   Low Wage","689773 Nb Ltd.","Oromocto, NB E2V 4R3","6311-Food service supervisors",Unknown,1,1
"New Brunswick","   Low Wage","Cochrans Country Market Ltd","Rothesay, NB E2E 2P8","6211-Retail sales supervisors",Unknown,1,1
Quebec,"    High Wage","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1221-Administrative officers",Corporation,1,1
Quebec,"   Low Wage","2834685 Canada Inc.","Montréal, QC H4A 3K4",6322-Cooks,"Sole Proprietorship",1,1
Quebec,"   Low Wage","9214-1191 QUEBEC INC","Dollard-Des-Ormeaux, QC H9G 1W8","6421-Retail salespersons",Unknown,1,2
Quebec,"   Low Wage","9393-8264 QUÉBEC INC","Mirabel, QC J7J 1R9","6211-Retail sales supervisors",Corporation,1,1
Quebec,"   Low Wage","9413-7957 Québec Inc.","Shefford, QC J2M 1Y7","7291-Roofers and shinglers",Unknown,1,9
Quebec,"   Low Wage","OASIS SANTÉ. FM.INC","Saint Jean sur Richelieu, QC J2X 5S1","6731-Light duty cleaners",Unknown,1,2
Quebec,"   Low Wage","SJ Architecture inc.","Montréal, QC H2R 2G1",2151-Architects,Unknown,1,1
Quebec,"   Low Wage","Surplus RD inc","VICTORIAVILLE, QC G6T 1A6","7452-Material handlers",Unknown,1,1
Ontario,"    High Wage","11051539 Canada Inc.","Mississauga, ON L4W 4L6","2252-Industrial designers",Unknown,1,1
Ontario,"    High Wage","1168170 Ontario Ltd","Lively, ON P3Y 1L4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",Unknown,1,2
Ontario,"    High Wage","12550989 Canada Inc. O/A PJ Galaxy IT Solutions Inc","Brampton, ON L6R 3V9","1211-Supervisors, general office and administrative support workers",Unknown,1,1
Ontario,"    High Wage","1337905 Ontario Limited","Mississauga, ON L4T 1G3","0114-Other administrative services managers",Unknown,1,1
Ontario,"    High Wage","14364562 Canada Inc.","MAPLE, ON L6A 0K8","1211-Supervisors, general office and administrative support workers",Unknown,1,1
Ontario,"    High Wage","1551863 Ontario Inc.","GEORGETOWN, ON L7G 4B5","6221-Technical sales specialists - wholesale trade",Unknown,1,1
Ontario,"    High Wage","1652262 ONTARIO INC.","SCARBOROUGH, ON M1B 4Z9","0601-Corporate sales managers",Unknown,1,1
Ontario,"    High Wage","2145462 Ontario Inc.","Toronto, ON L6P 0X4","0016-Senior managers - construction, transportation, production and utilities",Unknown,1,1
Ontario,"    High Wage","2316879 ONTARIO INC.","MISSISSAUGA, ON L4W 4C3","0631-Restaurant and food service managers",Unknown,1,1
Ontario,"    High Wage","2375741 Ontario Inc.","Mississauga, ON L5S 0A8","7305-Supervisors, motor transport and other ground transit operators",Unknown,1,1
Ontario,"    High Wage","2472843 Ontario Inc.","Richmond Hill, ON L4C 5G3","6314-Customer and information services supervisors",Unknown,1,1
Ontario,"    High Wage","2544201 ONTARIO INC.","Brampton, ON L6X 3V1","0114-Other administrative services managers",Unknown,1,1
Ontario,"    High Wage","2629333 Ontario Inc.","Guelph, ON N1G 4V9","6421-Retail salespersons",Unknown,1,1
Ontario,"    High Wage","2778347 Ontario Inc.","Milton, ON L9E 1J5","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"    High Wage","2788072 ONTARIO INC","TORONTO, ON M5V 1A6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1,1
Ontario,"    High Wage","6996116 Canada Corporation","Brampton, ON L6P 4E3","7511-Transport truck drivers",Unknown,1,4
Ontario,"    High Wage","8937001 Canada Inc","Scarborough, ON M1V 2W3","1241-Administrative assistants",Unknown,1,1
Ontario,"    High Wage","8963860 Canada Incorporated","Brampton, ON L6X 2Z8","7511-Transport truck drivers",Unknown,1,3
Ontario,"    High Wage","A ONE TRUCK & TRAILER REPAIR","Mississauga, ON L4W 1B2","7312-Heavy-duty equipment mechanics",Unknown,1,1
Ontario,"    High Wage","Accuenergy (Canada) Inc.","Scarborough, ON M1R 3E4","1221-Administrative officers",Unknown,1,1
Ontario,"    High Wage","Ad Hoc Content","Toronto, ON M6K 3E9","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Adepco Solutions Inc.","Mississauga, ON L4W 4J4","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"    High Wage","Aesthetics by Lovepreet Inc.","North York, ON M2N 3B3","0651-Managers in customer and personal services, n.e.c.",Unknown,1,1
Ontario,"    High Wage","ANIMALS INC.","TORONTO, ON M6J 2R9","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Asymetric Media Ltd","Toronto, ON M5V 2E7","5131-Producers, directors, choreographers and related occupations",Corporation,1,1
Ontario,"    High Wage","Bkz Reno’s Inc.","Milton, ON L9T 8A8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",Unknown,1,2
Ontario,"    High Wage","CANTRUST CANADA INSURANCE SERVICES","RICHMOND HILL, ON L4B 1E6","0112-Human resources managers",Unknown,1,1
Ontario,"    High Wage","CAPTRA STAFFING CORPORATION","Missisauga, ON L4Z 1S1","1123-Professional occupations in advertising, marketing and public relations",Unknown,1,1
Ontario,"    High Wage","Casa-Imperial Fine Chinese Cuisine Ltd.","Scarborough, ON M1W 3T4","0114-Other administrative services managers",Unknown,1,1
Ontario,"    High Wage","Castlewall Developments Ltd","Toronto, ON M6M 2Y2",7283-Tilesetters,Unknown,1,1
Ontario,"    High Wage","CHAUDHRY PETROLEUM & AUTO SERVICES INC.","Leamington, ON N8H 3X8","0621-Retail and wholesale trade managers",Unknown,1,1
Ontario,"    High Wage","Circle Productions","TORONTO, ON M5V 1T2","5131-Producers, directors, choreographers and related occupations",Corporation,4,4
Ontario,"    High Wage","Ekam Concrete  Cutting Inc.","Brampton, ON L6R 4A9","7282-Concrete finishers",Unknown,1,1
Ontario,"    High Wage","Electrocraft Electric Inc.","Brampton, ON L6Y 2L3","7245-Telecommunications line and cable workers",Unknown,1,1
Ontario,"    High Wage","ERP Buddies Inc.","Mississauga, ON L4W 5A6","6221-Technical sales specialists - wholesale trade",Unknown,1,1
Ontario,"    High Wage","Expert Geophysics Limited","Aurora, ON L4G 1G2","2212-Geological and mineral technologists and technicians",Unknown,1,2
Ontario,"    High Wage","EXTERO BUSINESS LTD.","London, ON N6A 5B5","0013-Senior managers - financial, communications and other business services",Unknown,1,1
Ontario,"    High Wage","FAIRFAB LIMITED","NORTH YORK, ON M3J 2V1","1221-Administrative officers",Unknown,1,1
Ontario,"    High Wage","GM STAFFING INC.","Kitchener, ON N2B 3S4","9214-Supervisors, plastic and rubber products manufacturing",Unknown,1,1
Ontario,"    High Wage","Herzing Institutes of Canada","North York, ON M3J 3E5","4212-Social and community service workers",Unknown,1,1
Ontario,"    High Wage","Holiday Films Inc.","Toronto, ON M5A 1J2","5131-Producers, directors, choreographers and related occupations","Sole Proprietorship",1,1
Ontario,"    High Wage","Iclean Restaurants & Offices","Brampton, ON L7A 4A7",7271-Carpenters,Unknown,1,2
Ontario,"    High Wage","INFINITY HVAC LTD","CAMBRIDGE, ON N1R 7S7","7511-Transport truck drivers",Unknown,1,1
Ontario,"    High Wage","JLSQ Construction Services LTD","Hamilton, ON L9C 5P7","7282-Concrete finishers",Unknown,1,1
Ontario,"    High Wage","Khalsa Forming Inc.","Mississauga, ON L4W 1E4",7236-Ironworkers,Unknown,1,2
Ontario,"    High Wage","Martella Tiling Services Inc.","Wasaga Beach, ON L9Z 1H9",7283-Tilesetters,Unknown,1,1
Ontario,"    High Wage","MEEDA ACCOUNTING PROFESSIONAL CORPORATION","Brampton, ON L6T 5A2","1311-Accounting technicians and bookkeepers",Unknown,1,2
Ontario,"    High Wage","Melfer Construction","Stoufville, ON L4A 7X4","7282-Concrete finishers",Unknown,1,1
Ontario,"    High Wage",Merchant,"Toronto, ON M6K  1Y","5131-Producers, directors, choreographers and related occupations",Corporation,3,3
Ontario,"    High Wage","Metahus Inc","North York, ON M3C 2N6","1223-Human resources and recruitment officers",Unknown,1,1
Ontario,"    High Wage","MGB TELECOM INCORPORATED","Caledon, ON L7C 4B5","2171-Information systems analysts and consultants",Unknown,1,1
Ontario,"    High Wage","MiniWarGaming Inc","Welland, ON L3B 3J7","5232-Other performers, n.e.c.",Corporation,1,1
Ontario,"    High Wage","Mississauga Harley-Davidson","Mississauga, ON L4W 4N3","0621-Retail and wholesale trade managers",Unknown,1,1
Ontario,"    High Wage","Moga Design & Build Construction Inc.","Inglewood, ON L7C 2M2","7282-Concrete finishers",Unknown,1,1
Ontario,"    High Wage","New Printing Inc.","Ottawa, ON K1B 5N3","1225-Purchasing agents and officers",Unknown,1,1
Ontario,"    High Wage","OBFT Inc","Oakville, ON L6H 1A6","5254-Program leaders and instructors in recreation, sport and fitness",Unknown,1,1
Ontario,"    High Wage","OpenSourceDB Limited","MISSISSAUGA, ON L5R 2H9","2173-Software engineers and designers",Unknown,1,1
Ontario,"    High Wage","Pearson Pelletier Ontario Telecom Inc.","Mississauga, ON L4W 1C7","7245-Telecommunications line and cable workers",Unknown,1,6
Ontario,"    High Wage","Queen's Elite Academy of Canada","North York, ON L8P 4W7","0111-Financial managers",Unknown,1,1
Ontario,"    High Wage","Radke Films Ltd","Toronto, ON M6J 1C3","5131-Producers, directors, choreographers and related occupations",Unknown,2,2
