Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,     Haut salaire,Bailey Veterinary Surgical Specialty Ltd.,"St. John's, NL A1N 3J7",3114-Vétérinaires,1
Île-du-Prince-Édouard,   Bas salaire,10713490 Canada Limited,"Charlottetown, PE C1A 2X2",6321-Chefs,1
Île-du-Prince-Édouard,   Bas salaire,DD Pizza and Donair Hub,"Charlottetown, PE C1A 4N4",6322-Cuisiniers,1
Nouvelle-Écosse,     Haut salaire,3327411 Nova Scotia Limited,"HALIFAX, NS B3J 3J8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
Nouvelle-Écosse,     Haut salaire,"SHIL Technologies, Inc","Halifax, NS B3J 3N2",2175-Concepteurs et développeurs Web,2
Nouvelle-Écosse,   Bas salaire,D.B. Kenney Fisheries (2014) Ltd,"Westport, NS B0V 1H0",9463-Ouvriers dans les usines de transformation du poisson et de fruits de mer,2
Nouvelle-Écosse,   Bas salaire,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",6322-Cuisiniers,2
Nouvelle-Écosse,   Bas salaire,East Coast Pizza,"Antigonish, NS B2G 2E3","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",3
Nouvelle-Écosse,   Bas salaire,New Vision Health Care Inc,"KENTVILLE, NS B4N 2K5",6322-Cuisiniers,1
Nouvelle-Écosse,   Bas salaire,sushi jet japanese cuisine inc,"HALIFAX, NS B3N 2S8",6322-Cuisiniers,1
Nouveau-Brunswick,     Haut salaire,Pit Stop Motel Service Ltd,"Berry Mills, NB E1G 3Z3",0632-Directeurs des services d'hébergement,1
Nouveau-Brunswick,     Haut salaire,POINT QUEEN FISHERIES LTD.,"L'Etete, NB E5C 2R6",0621-Directeurs - commerce de détail et de gros,1
Nouveau-Brunswick,   Bas salaire,057033 NB Inc,"Shediac, NB E4P 2K9","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",3
Nouveau-Brunswick,   Bas salaire,Birch Hill Construction Ltd.,"Moncton, NB E1G 0C6",2254-Technologues et techniciens en arpentage,1
Nouveau-Brunswick,   Bas salaire,Boomerangs steakhouse nb limited inc,"Moncton, NB E1C 0R9",6322-Cuisiniers,1
Nouveau-Brunswick,   Bas salaire,KB Pharmacy Ltd o/a Shoppers Drug Mart 181,"DIEPPE, NB E1A  4X",6421-Vendeurs - commerce de détail,1
Nouveau-Brunswick,   Bas salaire,Miramichi Subway Inc,"Miramichi, NB E1V 3T7",6311-Superviseurs des services alimentaires,1
Nouveau-Brunswick,   Bas salaire,Robin&Grace Retail Ltd.,"Scoudouc, NB E4P 3S1",6211-Superviseurs des ventes - commerce de détail,1
Nouveau-Brunswick,  Agriculture primaire,Maple A.L. inc,"Kedgwick River, NB E8B 1V6",8431-Ouvriers agricoles,1
