Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Terre-Neuve-et-Labrador,"   Bas salaire","Angel of Hope Homecare Agency Inc.","St. John's, NL A1B 2Y6","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Inconnu,1,10
Nouvelle-Écosse,"     Haut salaire","3323061 Nova Scotia Limited","HALIFAX, NS B3J 0E8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","NORTHUMBERLAND CONGREGATION OF THE CHURCH OF GOD IN CHRIST MENNONITE","Tatamagouche, NS B0K 1V0","4032-Enseignants aux niveaux primaire et préscolaire",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","OSR TRUCKLINE INC.","Halifax, NS B3M 0P6","7511-Conducteurs de camions de transport",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Oxen International Ltd","New Minas, NS B4N 4N4","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","Flyhigh Development Canada Inc.","Lincoln, NB E3B 7E6","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","PETER LAI PROFESSIONAL SERVICES INC.","SAINT JOHN, NB E2K 4J4","1221-Agents d'administration",Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Elmwood Burgers Ltd","Moncton, NB E1A 3P5","6311-Superviseurs des services alimentaires",Inconnu,1,1
Québec,"     Haut salaire","3dverse Technologie inc.","Montreal, QC H2X 2T7","2173-Ingénieurs et concepteurs en logiciel",Inconnu,1,1
Québec,"     Haut salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1223-Agents des ressources humaines et de recrutement",Corporation,1,1
Québec,"     Haut salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1225-Agents aux achats",Corporation,2,2
Québec,"     Haut salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1311-Techniciens en comptabilité et teneurs de livres",Corporation,1,1
Québec,"     Haut salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1524-Commis aux achats et au contrôle de l'inventaire",Corporation,1,1
Québec,"     Haut salaire","Initiatives de Coopération et d’Appui aux Actions Humanitaires et de Développement (ICAHD Internatio","Montréal, QC H3B  4W","0423-Directeurs des services sociaux, communautaires et correctionnels","Organisme de bienfaisance enregist",1,1
Québec,"     Haut salaire","KM RESSOURCES SOLUTIONS INC.","Montréal, QC H1A 5E5","7511-Conducteurs de camions de transport",Inconnu,1,2
Québec,"     Haut salaire","Rénovations  Nouvelle Vie Inc.","Montréal, QC H3X 2V9",7271-Charpentiers-menuisiers,Inconnu,1,1
Québec,"     Haut salaire","Sailor Productions Inc","MONTREAL, QC H2S 2L9","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",Inconnu,2,2
Québec,"   Bas salaire","2857111Canada Inc","Brossard, QC J4X 1C2",6322-Cuisiniers,Inconnu,1,1
Québec,"   Bas salaire","9089-3801 Québec inc.","Boucherville, QC J4B  6G","1221-Agents d'administration",Corporation,1,1
Québec,"   Bas salaire","9144-4539 Quebec inc","Montréal, QC H2Z 2B3",6322-Cuisiniers,Inconnu,1,1
Québec,"   Bas salaire","9292-9645 Québec Inc","Gatineau, QC J9H 3L3","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,3
Québec,"   Bas salaire","9297-0839 Québec Inc.","Lévis (Québec), QC G6W 8H7","7514-Chauffeurs-livreurs - services de livraison et de messagerie",Corporation,1,1
Québec,"   Bas salaire","9342-0800 Québec inc.","Longueuil, QC J4H 1E7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Corporation,1,1
Québec,"   Bas salaire","9392-9057 QUÉBEC INC.","Montreal, QC H2L 3L2",6322-Cuisiniers,Inconnu,1,1
Québec,"   Bas salaire","9402-0302 Québec Inc.","Shawinigan, QC G9T 7G4",6322-Cuisiniers,Corporation,1,3
Québec,"   Bas salaire","9423-5546 Quebec INC.","Gatineau, QC J8Y 5P9","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,2
Québec,"   Bas salaire","9428-8768 Québec Inc.","Québec, QC G1V 3Y8",7452-Manutentionnaires,Corporation,1,1
Québec,"   Bas salaire","9437-7439 Québec Inc.","Mascouche, QC J7K 2Z1","6342-Tailleurs, couturiers, fourreurs et modistes",Inconnu,1,1
Québec,"   Bas salaire","Agence de Placement du Personnel 2N INC","Repentigny, QC J5Y 4C7","1241-Adjoints administratifs",Inconnu,1,6
Québec,"   Bas salaire","Canpars Professional Services Inc.","Montreal, QC H3H 1E8","1241-Adjoints administratifs",Inconnu,1,1
Québec,"   Bas salaire","Carthagro inc.","Québec, QC G2C 0G7","6222-Acheteurs des commerces de détail et de gros",Inconnu,1,1
Québec,"   Bas salaire","CASSE CROUTE TACO LYS INC","Joliette, QC J6E 5G2",6322-Cuisiniers,Corporation,1,1
Québec,"   Bas salaire","CATERTAINMENT INC.","Montréal, QC H4T  1G","6311-Superviseurs des services alimentaires",Corporation,1,1
Québec,"   Bas salaire","GBH Edmundston inc.","Edmundston, QC E3V 0A3","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,5
Québec,"   Bas salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1221-Agents d'administration",Corporation,2,2
Québec,"   Bas salaire","Global Gestion A.J. Inc","Montréal, QC H1R 1Z6","1241-Adjoints administratifs",Corporation,2,2
