Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,   Bas salaire,J. Co Holdings Inc.,"St. John's, NL A1C 2A5",6322-Cuisiniers,2
,,Mes Amis Daycare and Preschool,"St. John's, NL A1A 4P8",4214-Éducateurs et aides-éducateurs de la petite enfance,1
Île-du-Prince-Édouard,   Bas salaire,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",0631-Directeurs de la restauration et des services alimentaires,1
Nouvelle-Écosse,   Bas salaire,Care & Fun Childcare Limited,"HALIFAX, NS B3M 3V3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,,Mandox Incorporated,"ANNAPOLIS ROYAL, NS B0S 1A0",6322-Cuisiniers,1
,,Scott and Stewart Forestry Consultants Ltd,"St Andrews, NS B0H 1X0",8616-Manoeuvres de l'exploitation forestière,1
,,Sydney Fresh Casual Restaurants Inc.,"AMHERST, NS B4H 4L2",6322-Cuisiniers,2
,  Agriculture primaire,Perfect Berries Limited,"Berwick, NS B0P 1E0",8431-Ouvriers agricoles,20
Nouveau-Brunswick,   Bas salaire,638001 NB Inc,"Shediac, NB E4P 2G9",6311-Superviseurs des services alimentaires,1
,,658579 NB Ltd,"FREDERICTON, NB E3C 1A2",6322-Cuisiniers,2
,,G.L. Sawmill Ltee,"HAUTE-ABOUJAGANE, NB E4P 5P4",9614-Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois,5
,,Murphy Foodservice Ltd,"SAINT JOHN, NB E2L 1G4",6322-Cuisiniers,1
,,Provincial Bandag Tires Ltd.,"ST. BASILE, NB E7C 1M7",9423-Opérateurs de machines de transformation du caoutchouc et personnel assimilé,1
Québec,    Haut salaire,8531145 Canada Inc.,"Montréal, QC H2X 2V5",5241-Designers graphiques et illustrateurs,1
,,9257-2734 Québec Inc.,"ANJOU, QC H1M 0A1",0631-Directeurs de la restauration et des services alimentaires,1
,,9287-6697 Québec Inc.,"Montréal, QC H1S 1L1",6322-Cuisiniers,1
,,9308-8268 Québec Inc.,"Montréal, QC H3N 1R1",1241-Adjoints administratifs,1
,,Andy Transport Inc.,"SAINT-LAURENT, QC H4T 1K2",1222-Adjoints de direction,1
,,CAVALIA Inc,"MONTRÉAL, QC H2H 2L5","5226-Autre personnel technique et personnel de coordination du cinéma, de la radiotélédiffusion et des arts de la scène",3
,,Groupe Conseil BC2 Inc.,"Montreal, QC H2Y 2A3",1241-Adjoints administratifs,1
,,Groupe Volvo Canada Inc,"MONTRÉAL, QC H3B 4M7","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Insima Media Inc.,"Mascouche, QC J7K 0R1",0113-Directeurs des achats,1
,,Qualtech inc,"QUÉBEC, QC G1N 4K3",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Société Conseil Groupe LGS,"QUÉBEC, QC G1V 4K5",2174-Programmeurs et développeurs en médias interactifs,1
,,TECHNO-PIEUX INC.,"Thetford Mines, QC G6G 8B2",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Wabtec Canada Inc.,"Saint-Laurent, QC H4M 2V1",2132-Ingénieurs mécaniciens,1
,,WC 5000 inc.,"Montréal, QC H2Y 1T3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,   Bas salaire,6144527 Canada Inc,"VAUDREUIL-DORION, QC J7V 9H5",7511-Conducteurs de camions de transport,1
,,7899220 Canada Inc. (Barbibelle Spa),"Gatineau, QC J9J 3J3",3236-Massothérapeutes,1
,,9018-7402 Québec Inc.,"St-Jean-sur-Richelieu, QC J2W 1C5",1241-Adjoints administratifs,1
,,9034-8202 QUÉBEC INC.,"MIRABEL, QC J7J 1H1",6322-Cuisiniers,1
,,9097-2902 Quebec Inc.,"Gatineau, QC J9H 1A2",6332-Boulangers-pâtissiers,1
,,9129-0205 Québec inc,"Quebec, QC G1S 2N6",6332-Boulangers-pâtissiers,1
,,9329-8479 Québec Inc.,"MONTRÉAL, QC H4L 3M6",6322-Cuisiniers,1
,,Bono Foods Inc.,"STE CLAIRE, QC G0R 2V0",6322-Cuisiniers,1
,,Dépanneur Vieux Montréal (2016) Inc.,"Montréal, QC H2Y 1S6",6322-Cuisiniers,1
,,Fruit d'Or Inc.,"Villeroy, QC G0S 3K0","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",7
,,Gordon Food Service Canada Ltd.,"QUÉBEC, QC G2C 2E2",7452-Manutentionnaires,10
,,Les Entreprises Fervel Inc,"St-Laurent, QC H4N 2L3",6315-Surveillants des services de nettoyage,1
,,Récupération Delisle Inc.,"ST-APOLLINAIRE, QC G0S 2E0","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
,  Agriculture primaire,Ferme Guy Béland Inc.,"Neuville, QC G0A 2R0",8431-Ouvriers agricoles,1
Ontario,    Haut salaire,1060436 Ontario Limited o/a Serano Bakery,"TORONTO, ON M4K 3T5",0621-Directeurs - commerce de détail et de gros,1
,,10623326 Canada Ltd.,"TORONTO, ON M9Y 1Y5",5251-Athlètes,1
,,1214174 Ontario Inc.,"ETOBICOKE, ON M9V 3Z7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,,1514342 Ontario Ltd.,"Mississauga, ON L4W 1A1",1241-Adjoints administratifs,1
,,1550034 Ontario Inc. o/a Warraich Meat Shop Inc.,"BRAMPTON, ON L6R 1T4",6311-Superviseurs des services alimentaires,1
,,1633108 Ontario Inc.,"Mississauga, ON L5J 1K7",1212-Superviseurs de commis de finance et d'assurance,1
,,1643707 Ont Inc. o/a Palma Door Systems Inc,"Toronto, ON M3N 1V9",9226-Surveillants dans la fabrication d'autres produits métalliques et de pièces mécaniques,1
,,1810091 Ontario Inc. o/a Green Mango Pho,"VAUGHAN, ON L4L 1A6",6321-Chefs,1
,,2057600 Ontario Inc. o/a Toronto Car Sales and Auto Service,"BRAMPTON, ON L6W 2B5",1221-Agents d'administration,1
,,2122360 Ontario Inc.,"PORT ELGIN, ON N0H 2C0",0631-Directeurs de la restauration et des services alimentaires,1
,,2228977 Ontario Inc.,"Guelph, ON N1H 6H7",7611-Aides de soutien des métiers et manoeuvres en construction,3
,,2230434 Ontario Inc,"ETOBICOKE, ON M9W 6P8",7271-Charpentiers-menuisiers,1
,,,,7281-Briqueteurs-maçons,1
,,,,7293-Calorifugeurs,1
,,2254562 Ontario Inc.,"MISSISSAUGA, ON L4W 1E4",1225-Agents aux achats,1
,,2298679 Ontario Inc.,"Vaughan, ON L4K 4A5","7384-Autre personnel des métiers et personnel assimilé, n.c.a.",7
,,2320610 Ontario Inc. o/a Active Security Enterprises,"BRAMPTON, ON L6Y 0P6",6221-Spécialistes des ventes techniques - commerce de gros,1
,,2347401 Ontario Inc./ O/A Asian Food Centre,"CALEDON, ON L7C 3V4",6322-Cuisiniers,1
,,2508051 Ontario Inc. o/a Bengla Sweets,"BRAMPTON, ON L6X 5E9",0631-Directeurs de la restauration et des services alimentaires,1
,,6671896 Canada Inc.,"OTTAWA, ON K2G 4V3",5252-Entraîneurs,1
,,7214821 Canada Inc. o/a Taminka Metal Roofing,"Mississauga, ON L5H 2S1",7291-Couvreurs et poseurs de bardeaux,1
,,8001189 Canada Inc.,"GUELPH, ON N1L 1E9",1221-Agents d'administration,1
,,8234124 Canada Corp,"CONCORD, ON L4K 4C6",7282-Finisseurs de béton,1
,,8773173 Canada Inc.,"BRAMPTON, ON L6V 4S3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,9359435 CAN. INC o/a BK Auto Body Collision,"ETOBICOKE, ON M9W 4W6",7322-Débosseleurs et réparateurs de carrosserie,1
,,949710 Ontario Limited,"Mississauga, ON L4T 3M6",7322-Débosseleurs et réparateurs de carrosserie,1
,,Adias Impex Limited,"WOODBRIDGE, ON L4L 6C6",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Amelt Corporation,"TORONTO, ON M2M 4K2",2131-Ingénieurs civils,1
,,Andy's Masonry and Renovations Ltd.,"HAMILTON, ON L8T 2A7",7283-Carreleurs,1
,,Asymetric Media Ltd.,"Toronto, ON M5B 2E7","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Ava Hair Studio,"Oakville, ON L6J 3C9",6341-Coiffeurs et barbiers,1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Body Vision Fitness Inc.,"Richmond Hill, ON L4C 0A8",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,Can-Eng Furnaces International Ltd.,"Niagara Falls, ON L2E 6V5",2142-Ingénieurs métallurgistes et des matériaux,1
,,Canprev Natural Health Products Ltd.,"Toronto, ON M1S 3R5",2175-Concepteurs et développeurs Web,1
,,Cataldi Fresh Market Inc.,"Woodbridge, ON L4L 4K9",6321-Chefs,1
,,CG Needle Arts Ltd.,"BRAMPTON, ON L6T 4Z6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Champion Products Corp.,"Windsor, ON N8Y 0A5",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,CIA Inspection Inc,"Hannon, ON L0R 1P0",2132-Ingénieurs mécaniciens,1
,,Clivia Products of Canada Inc.,"WOODBRIDGE, ON L4L 9G7",0621-Directeurs - commerce de détail et de gros,1
,,CRM Global Capital Inc.,"Toronto, ON M5H 3K6","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Digital Extremes Ltd.,"London, ON N6A 6K2",5241-Designers graphiques et illustrateurs,1
,,Elgra Inc.,"Vaughan, ON L4K 2M9",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Elirpa Construction & Materials Ltd,"Pickering, ON L1V 2R4",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,1
,,Euro Group Masonry Ltd.,"TORONTO, ON M6N 4Z9",7281-Briqueteurs-maçons,1
,,Fanshawe Health Group,"London, ON N6G 5A9",3112-Omnipraticiens et médecins en médecine familiale,1
,,Flynn Canada Ltd.,"Mississauga, ON L4V 1K2",7233-Tôliers,2
,,,,7291-Couvreurs et poseurs de bardeaux,7
,,,,7292-Vitriers,3
,,Glen-Merritt Collision Ltd.,"ST. CATHERINES, ON L2S 0B6",7322-Débosseleurs et réparateurs de carrosserie,1
,,Goldenmount Capital International Inc.,"MARKHAM, ON L3R 5J2",1222-Adjoints de direction,1
,,H SANDERSON & SON CONSTRUCTION,"HUNTSVILLE, ON P1H 0A5",7204-Entrepreneurs et contremaîtres en charpenterie,1
,,High Flyers Gymnastics Inc.,"Concord, ON L4K 5V6",5252-Entraîneurs,1
,,Icon Motors Limited,"Puslinch, ON N0B 2J0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,,Icon Transportation Logistics Ltd,"Puslinch, ON N0B 2J0",7511-Conducteurs de camions de transport,5
,,Imam Hussian - Association,"Scarborough, ON M1V 5J5",5212-Personnel technique des musées et des galeries d'art,1
