Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Terre-Neuve-et-Labrador,"Bas salaire","Blair Holdings Limited","Corner Brook, NL A2H 4C5","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,2
Île-du-Prince-Édouard,"Agriculture primaire","Pure Pork Genetics Ltd.","montague, PE C0A 1R0","8431-Ouvriers agricoles",Inconnu,1,3
Nouvelle-Écosse,"Bas salaire","3323061 Nova Scotia Limited","HALIFAX, NS B3J 0E8","1311-Techniciens en comptabilité et teneurs de livres",Inconnu,1,1
Nouvelle-Écosse,"Bas salaire","4438865 nova scotia limited","Currys Corner, NS B0N 2T0","6211-Superviseurs des ventes - commerce de détail",Inconnu,1,1
Nouvelle-Écosse,"Bas salaire","Simply Pho You","Yarmouth, NS B5A 1H1",6322-Cuisiniers,Inconnu,1,1
Nouveau-Brunswick,"Bas salaire","685433 N.-B.Ltee","ST ISIDORE, NB E8M 1C1","0621-Directeurs - commerce de détail et de gros",Inconnu,1,1
Nouveau-Brunswick,"Bas salaire","Fen's Market Inc.","Woodstock, NB E7M 4L9",6611-Caissiers,Inconnu,1,3
Nouveau-Brunswick,"Bas salaire","Hotel Shediac","Shediac, NB E4P 0M2","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,2
Nouveau-Brunswick,"Haut salaire","12200601 CANADA INC","SAINT JOHN, NB E2L 3S5","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Nouveau-Brunswick,"Haut salaire","Day & Ross Inc.","Hartland, NB E7P 1C6","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",Inconnu,1,1
Nouveau-Brunswick,"Haut salaire","DWARKA CIVIL CONSTRUCTION MANAGEMENT LIMITED","SAINT JOHN, NB E2J 1C7","2264-Inspecteurs en construction",Inconnu,1,1
Nouveau-Brunswick,"Haut salaire","VIJGREEN CONSTRUCTION MANAGEMENT LTD.","Saint John,, NB E2J 1C7","0711-Directeurs de la construction",Inconnu,2,2
Québec,"Bas salaire","9163-2653 QUÉBEC INC.","Brossard, QC J4Y  0J","6311-Superviseurs des services alimentaires",Partenariat,1,1
Québec,"Bas salaire","9270-8783 Québec inc.","Québec, QC G1V 1T6","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Inconnu,1,1
Québec,"Bas salaire","9278-3513 Québec inc.","SOREL-TRACY, QC J3P 4G5","4214-Éducateurs et aides-éducateurs de la petite enfance",Inconnu,1,1
Québec,"Bas salaire","9321-5762 Québec inc.","Montréal, QC H1T 1G7",6332-Boulangers-pâtissiers,Inconnu,1,1
Québec,"Bas salaire","9331-6701 Québec INC.","Montréal, QC H4M 1P1","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,1
Québec,"Bas salaire","9342-0800 Québec inc.","Longueuil, QC J4H 1E7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",Corporation,1,2
Québec,"Bas salaire","9432-7657 Quebec Inc.","Laval, QC H7S 2L8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",Corporation,1,3
Québec,"Bas salaire","9452-0772 Québec Inc.","Lévis, QC G6Z 8A1","6731-Préposés à l'entretien ménager et au nettoyage - travaux légers",Corporation,1,1
Québec,"Bas salaire","Microbrasserie La Boite à Malt","Lévis, QC G7A 2P6","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,2
Québec,"Bas salaire","OPUS Coop, Coopérative de solidarité","Québec, QC G1H 1A1",6321-Chefs,Inconnu,1,2
Québec,"Bas salaire","Panneaux CEMFORT Inc.","Rigaud, QC J0P 1P0",7452-Manutentionnaires,Corporation,1,1
Québec,"Haut salaire","9427-3661 Québec inc.","SAINT JEROME, QC J7Y 1J3","1241-Adjoints administratifs",Partenariat,1,1
