Province/Territoire,"Volet du programme",Employeur,Adresse,"Profession ","Incorporer le statut","EIMT demandes","Postes demandes"
Nouvelle-Écosse,"     Haut salaire","Aculocus Health and Beauty","Halifax, NS B3M 0J9","1123-Professionnels en publicité, en marketing et en relations publiques",Inconnu,1,1
Nouvelle-Écosse,"     Haut salaire","The Orb Factory Limited","Halifax, NS B3P 1L3","1122-Professionnels des services-conseils en gestion aux entreprises",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","DB Embroidery Solutions","Dartmouth, NS B2W 3T9","9442-Tisseurs, tricoteurs et autres opérateurs de machines textiles",Inconnu,1,1
Nouvelle-Écosse,"   Bas salaire","Emigrance Consulting & Immigration Inc.","Lakeside, NS B3T 1A2","1242-Adjoints administratifs juridiques",Inconnu,1,1
Nouvelle-Écosse,"  Talent mondial","Maritime Business Consulting Inc","Bedford, NS B4B 0T4","2171-Analystes et consultants en informatique",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","BMM QA Canada Ltd","Dieppe, NB E1A 8H3","2283-Évaluateurs de systèmes informatiques",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","Canadian faraz inc","Moncton, NB E1E 1J1","6421-Vendeurs - commerce de détail",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","FUNDYGELD DEVELOPMENT INC.","SAINT JOHN, NB E2J 2E7","0015-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","Future Auto Garage Ltd.","Saint John, NB E2J 2C6","0213-Gestionnaires des systèmes informatiques",Inconnu,1,1
Nouveau-Brunswick,"     Haut salaire","Greenhaven Management Inc.","Moncton, NB E1G 2K2","7511-Conducteurs de camions de transport",Inconnu,1,5
Nouveau-Brunswick,"   Bas salaire","Boise Cascade Alljoist","St-Jacques, NB E7B 1T1","9614-Manoeuvres dans le traitement des pâtes et papiers et la transformation du bois",Inconnu,1,5
Nouveau-Brunswick,"   Bas salaire","Ébénisterie Tech Design Woodworking inc","ST-JOSEPH-DE-MADAWASKA, NB E7B 2K9",7272-Ébénistes,Inconnu,1,1
Nouveau-Brunswick,"   Bas salaire","Janda Enterprises Inc","Tracadie-Sheila, NB E1X 0E1","6711-Serveurs au comptoir, aides de cuisine et personnel de soutien assimilé",Inconnu,1,2
Québec,"     Haut salaire","9092-5447 QUÉBEC INC","Rouyn-Noranda, QC J9X 3B9","2282-Agents de soutien aux utilisateurs",Inconnu,1,2
Québec,"     Haut salaire","9342-7490 Quebec Inc.","Laval, QC H7E 1A1","7511-Conducteurs de camions de transport",Inconnu,2,15
Québec,"     Haut salaire","9353-6134 QC INC","MONTRÉAL, QC H1H 3X6","0712-Gestionnaires et rénovateurs en construction domiciliaire",Inconnu,1,2
Québec,"     Haut salaire","9429-2570 Québec Inc.","Sainte-Marthe-sur-le-Lac, QC J0N 1P0","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",Corporation,1,4
